OrderID,CustomerID,ProductID,ProductName,Category,Quantity,UnitPrice,UnitCost,DiscountRate,NetRevenue,CurrentStock,ReorderPoint,SafetyStock,LeadTimeDays,SupplierID,OrderDate,InventoryStatus
ORD-57779,CUST-3717,PROD-04,Leather Minimalist Wallet,Accessories,1,1499,400,0.0,1499.0,221,147.0,75,6.0,SUP-04,2025-12-06,Healthy
ORD-52812,CUST-5446,PROD-04,Leather Minimalist Wallet,Accessories,4,1499,400,0.0,5996.0,219,125.0,53,6.0,SUP-04,2025-01-25,Healthy
ORD-68531,CUST-1418,PROD-05,Waterproof Sports Backpack,Apparel,1,2899,900,0.0,2899.0,290,160.0,70,10.0,SUP-05,2025-01-18,Healthy
ORD-71680,CUST-1079,PROD-06,Bamboo Desk Organizer,Home Decor,1,999,350,0.0,999.0,400,171.0,31,14.0,SUP-06,2025-03-15,Healthy
ORD-73607,CUST-2732,PROD-01,Wireless Ergonomic Mouse,Electronics,1,2499,1200,0.0,2499.0,210,105.0,49,7.0,SUP-01,2025-01-11,Healthy
ORD-70624,CUST-1963,PROD-01,Wireless Ergonomic Mouse,Electronics,1,2499,1200,0.05,2374.05,179,85.0,29,7.0,SUP-01,2025-12-12,Healthy
ORD-57326,CUST-1067,PROD-01,Wireless Ergonomic Mouse,Electronics,1,2499,1200,0.0,2499.0,162,87.0,31,7.0,SUP-01,2025-04-13,Healthy
ORD-59495,CUST-2195,PROD-02,Mechanical RGB Keyboard,Electronics,1,5999,2800,0.0,5999.0,129,113.0,41,12.0,SUP-02,2025-11-11,Healthy
ORD-71394,CUST-4460,PROD-04,Leather Minimalist Wallet,Accessories,1,1499,400,0.05,1424.05,276,149.0,77,6.0,SUP-04,2024-10-16,Healthy
ORD-68731,CUST-1015,PROD-04,Leather Minimalist Wallet,Accessories,1,1499,400,0.05,1424.05,324,142.0,70,6.0,SUP-04,2025-06-13,Healthy
ORD-72186,CUST-4868,PROD-05,Waterproof Sports Backpack,Apparel,1,2899,900,0.0,2899.0,142,142.0,52,10.0,SUP-05,2025-06-20,Reorder Required
ORD-74250,CUST-2646,PROD-05,Waterproof Sports Backpack,Apparel,1,2899,900,0.0,2899.0,231,155.0,65,10.0,SUP-05,2025-01-07,Healthy
ORD-71201,CUST-4624,PROD-01,Wireless Ergonomic Mouse,Electronics,1,2499,1200,0.0,2499.0,212,100.0,44,7.0,SUP-01,2024-04-25,Healthy
ORD-56149,CUST-4381,PROD-01,Wireless Ergonomic Mouse,Electronics,1,2499,1200,0.0,2499.0,132,81.0,25,7.0,SUP-01,2024-06-22,Healthy
ORD-69731,CUST-5209,PROD-01,Wireless Ergonomic Mouse,Electronics,2,2499,1200,0.0,4998.0,158,86.0,30,7.0,SUP-01,2024-04-23,Healthy
ORD-60779,CUST-2247,PROD-05,Waterproof Sports Backpack,Apparel,1,2899,900,,2899.0,155,127.0,37,10.0,SUP-05,2024-01-15,Healthy
ORD-50959,CUST-3343,PROD-05,Waterproof Sports Backpack,Apparel,1,2899,900,0.0,2899.0,198,156.0,66,10.0,SUP-05,2024-12-18,Healthy
ORD-70635,CUST-2718,PROD-01,Wireless Ergonomic Mouse,Electronics,1,2499,1200,0.0,2499.0,161,110.0,54,7.0,SUP-01,2025-12-19,Healthy
ORD-68119,CUST-4870,PROD-02,Mechanical RGB Keyboard,Electronics,1,5999,2800,0.0,5999.0,103,98.0,26,12.0,SUP-02,2025-04-22,Healthy
ORD-52973,CUST-2270,PROD-01,Wireless Ergonomic Mouse,Electronics,1,2499,1200,0.1,2249.1,118,90.0,34,7.0,SUP-01,2025-12-31,Healthy
ORD-65057,CUST-2281,PROD-02,Mechanical RGB Keyboard,Electronics,1,5999,2800,0.0,5999.0,143,90.0,18,12.0,SUP-02,2025-02-04,Healthy
ORD-58487,CUST-2603,PROD-03,4K Ultra-Wide Monitor,Electronics,1,29999,18000,0.0,29999.0,36,46.0,10,18.0,SUP-03,2025-04-14,Reorder Required
ORD-63217,CUST-3592,PROD-01,Wireless Ergonomic Mouse,Electronics,2,2499,1200,0.0,4998.0,76,96.0,40,7.0,SUP-01,2025-01-31,Reorder Required
ORD-58611,CUST-4279,PROD-04,Leather Minimalist Wallet,Accessories,1,1499,400,,1499.0,262,130.0,58,6.0,SUP-04,2024-04-15,Healthy
ORD-62202,CUST-4095,PROD-01,Wireless Ergonomic Mouse,Electronics,2,2499,1200,,4998.0,180,114.0,58,7.0,SUP-01,2024-12-26,Healthy
ORD-66628,CUST-1677,PROD-06,Bamboo Desk Organizer,Home Decor,1,999,350,0.0,999.0,199,193.0,53,14.0,SUP-06,2025-01-13,Healthy
ORD-65535,CUST-4209,PROD-04,Leather Minimalist Wallet,Accessories,2,1499,400,0.05,2848.1,289,123.0,51,6.0,SUP-04,2024-07-01,Healthy
ORD-59690,CUST-2876,PROD-03,4K Ultra-Wide Monitor,Electronics,2,29999,18000,0.0,59998.0,45,45.0,9,18.0,SUP-03,2025-01-29,Reorder Required
ORD-57395,CUST-4564,PROD-04,Leather Minimalist Wallet,Accessories,1,1499,400,,1499.0,335,154.0,82,6.0,SUP-04,2024-04-26,Healthy
ORD-56419,CUST-2590,PROD-04,Leather Minimalist Wallet,Accessories,1,1499,400,0.0,1499.0,65,145.0,73,6.0,SUP-04,2025-11-07,Reorder Required
